TransitID,stop_name,direction_id,SequenceOrderFinal
1,14th Street,1,0.0001
2,14th Street,1,0.0001
2,23rd Street,1,1.676667e-002
3,14th Street,1,0.0001
3,23rd Street,1,1.676667e-002
3,33rd Street,1,5.73963e-002
4,9th Street,1,0.0001
4,14th Street,1,1.676667e-002
7,Christopher Street,1,0.0001
7,9th Street,1,3.343333e-002
7,14th Street,1,0.0501
8,Grove Street,1,0.0001
8,Newport,1,6.676666e-002
8,Hoboken,1,0.1001
8,Christopher Street,1,0.240256
8,9th Street,1,0.2735893
8,14th Street,1,0.2902559
9,Hoboken,1,0.0001
9,Christopher Street,1,0.1553017
9,9th Street,1,0.188635
9,14th Street,1,0.2053017
10,Journal Square,1,0.0001
10,Grove Street,1,6.676666e-002
10,Newport,1,0.1334333
10,Hoboken,1,0.1667667
10,Christopher Street,1,0.3069226
10,9th Street,1,0.3402559
10,14th Street,1,0.3569226
11,Newport,1,0.0001
11,Hoboken,1,3.343333e-002
11,Christopher Street,1,0.1735893
11,9th Street,1,0.2069226
11,14th Street,1,0.2235893
13,23rd Street,1,0.0001
14,23rd Street,1,0.0001
14,33rd Street,1,4.072963e-002
15,9th Street,1,0.0001
15,14th Street,1,1.676667e-002
15,23rd Street,1,3.343333e-002
18,Christopher Street,1,0.0001
18,9th Street,1,3.343333e-002
18,14th Street,1,0.0501
18,23rd Street,1,6.676666e-002
19,Grove Street,1,0.0001
19,Newport,1,6.676666e-002
19,Hoboken,1,0.1001
19,Christopher Street,1,0.240256
19,9th Street,1,0.2735893
19,14th Street,1,0.2902559
19,23rd Street,1,0.3069226
20,Hoboken,1,0.0001
20,Christopher Street,1,0.1553017
20,9th Street,1,0.188635
20,14th Street,1,0.2053017
20,23rd Street,1,0.2219684
21,Journal Square,1,0.0001
21,Grove Street,1,6.676666e-002
21,Newport,1,0.1334333
21,Hoboken,1,0.1667667
21,Christopher Street,1,0.3069226
21,9th Street,1,0.3402559
21,14th Street,1,0.3569226
21,23rd Street,1,0.3735893
22,Newport,1,0.0001
22,Hoboken,1,3.343333e-002
22,Christopher Street,1,0.1735893
22,9th Street,1,0.2069226
22,14th Street,1,0.2235893
22,23rd Street,1,0.240256
25,33rd Street,1,0.0001
26,9th Street,1,0.0001
26,14th Street,1,1.676667e-002
26,23rd Street,1,3.343333e-002
26,33rd Street,1,7.406297e-002
29,Christopher Street,1,0.0001
29,9th Street,1,3.343333e-002
29,14th Street,1,0.0501
29,23rd Street,1,6.676666e-002
29,33rd Street,1,0.1073963
30,Grove Street,1,0.0001
30,Newport,1,6.676666e-002
30,Hoboken,1,0.1001
30,Christopher Street,1,0.240256
30,9th Street,1,0.2735893
30,14th Street,1,0.2902559
30,23rd Street,1,0.3069226
30,33rd Street,1,0.3498563
31,Hoboken,1,0.0001
31,Christopher Street,1,0.1553017
31,9th Street,1,0.188635
31,14th Street,1,0.2053017
31,23rd Street,1,0.2219684
31,33rd Street,1,0.2657582
32,Journal Square,1,0.0001
