route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1024,1603A2876,106427A1603B2876,,Journal Square via Hoboken,0,,0,0
1024,1604A2876,106167A1604B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105720A1602B2876,,33rd Street,1,,2,0
860,1602A2876,106045A1602B2876,,Hoboken,0,,3,0
860,1602A2876,105978A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106308A1603B2876,,33rd via Hoboken,1,,1,0
1024,1603A2876,106444A1603B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106705A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106616A1602B2876,,33rd Street,1,,7,0
1024,1604A2876,106246A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107096A1602B2876,,Newark,0,,8,0
859,1602A2876,105875A1602B2876,,Hoboken,0,,9,0
860,1602A2876,106065A1602B2876,,Hoboken,0,,3,0
862,1602A2876,107256A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106789A1602B2876,,Journal Square,0,,6,0
860,1602A2876,106057A1602B2876,,Hoboken,0,,3,0
859,1602A2876,105715A1602B2876,,33rd Street,1,,2,0
860,1602A2876,105927A1602B2876,,World Trade Center,1,,4,0
1024,1604A2876,106271A1604B2876,,Journal Square via Hoboken,0,,5,0
1024,1602A2876,106527A1602B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106830A1604B2876,,Newark,0,,8,0
862,1602A2876,107078A1602B2876,,Newark,0,,8,0
861,1602A2876,106595A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105910A1602B2876,,Hoboken,0,,9,0
859,1602A2876,105843A1602B2876,,Hoboken,0,,9,0
862,1602A2876,107243A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106711A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106657A1602B2876,,33rd Street,1,,7,0
860,1602A2876,105982A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106392A1603B2876,,33rd via Hoboken,1,,1,0
1024,1602A2876,106509A1602B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106205A1604B2876,,33rd via Hoboken,1,,1,0
861,1602A2876,106628A1602B2876,,33rd Street,1,,7,0
862,1603A2876,106998A1603B2876,,World Trade Center,1,,10,0
859,1602A2876,105867A1602B2876,,Hoboken,0,,9,0
862,1602A2876,107314A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,105965A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106472A1603B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105764A1602B2876,,33rd Street,1,,2,0
859,1602A2876,105905A1602B2876,,Hoboken,0,,9,0
860,1602A2876,105967A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106627A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105756A1602B2876,,33rd Street,1,,2,0
